id	intended_politeness	ilp_paraphrase	greedy_paraphrase	retrieval_paraphrase	receiver	text
A23-A2U-0	-0.27193829205361386	sharing sites not reliable sources ? wikipedia _ talk : external _ links # refencing _ youtube say damn it is okay .	sharing sites not reliable sources ? please wikipedia _ talk : external _ links # refencing _ youtube say it is ok .	sharing sites not reliable sources ? and wikipedia _ talk : external _ links # refencing _ youtube say it is ok .	A2U	Excuse me but how are video-sharing sites not reliable sources? Wikipedia_talk:External_links#Refencing_youtube say it is ok.
A23-A2U-1	-0.27193829205361386	right but gaza massacre in the lede is perfectly bloody ok , right ? ( btw off topic )	right but gaza massacre in the lede is perfectly ok , right ? please off topic )	um , right but gaza massacre in the lede is perfectly ok , right ? off topic )	A2U	Right but Gaza Massacre in the lede is perfectly OK, right? (Sorry, off topic)
A23-A2U-2	-0.27193829205361386	btw , btw , wtf ? btw ,	please help me . please help me .	wtf ? wtf ?	A2U	Sorry but how was it a personal attack any more than what you wrote??
A23-A2U-3	-0.27193829205361386	oh damn btw did i revert you by accident ? i ' ll fix that right away please .	oh , did i revert you by accident ? i ' ll fix that right away . please	oh , did i revert you by accident ? and i ' ll fix that right away .	A2U	Oh, sorry, did I revert you by accident? I'll fix that right away.
A23-A2U-4	-0.27193829205361386	btw , what sort of description and where the hell ?	what sort of description and where ?	really ? what sort of description and where ?	A2U	Sorry don't understand what you mean. What sort of description and where?
A23-A2U-5	-0.27193829205361386	"btw , didn ' t notice this . wtf were there any pre - 1948 zionists who didn ' t "" support israel as a jewish state "" ?"	"didn ' t notice this . were there any pre - 1948 zionists who didn ' t "" support israel as a jewish state "" ? please"	"um , didn ' t notice this . were there any pre - 1948 zionists who didn ' t "" support israel as a jewish state "" ?"	A2U	"Sorry, didn't notice this.  Were there any pre-1948 Zionists who didn't ""support Israel as a Jewish state""?"
A23-A2U-6	-0.5164437868606463	damn , can i test stuff for me then ?	please can i test stuff on my own page then ?	damn , can i test stuff on my own page then ?	A2U	Um sorry. Can I test stuff on my own page then?
A23-A2U-7	-0.27193829205361386	btw , btw , wtf ? btw ,	please help me . please help me .	wtf ? wtf ?	A2U	excuse me but isn't your username a little offensive for someone who doesn't know chinese ???????
A23-A2U-8	-0.27193829205361386	by the way , i don ' t quite understand that last message . what the heck is archive 14 and how do i see it ?	i don ' t understand that last message . what is archive 14 and how do i see it ? please	i honestly don ' t understand that last message . what is archive 14 and how do i see it ?	A2U	Sorry, I don't understand that last message. What is Archive 14 and how do I see it?
A23-A2U-9	-0.27193829205361386	btw , wtf does this fix the problem please ? < unk >	does this fix the problem ? please <unk>	so does this fix the problem ? <unk>	A2U	Does this fix the problem?  Sorry to cause extra work.—
A23-A2U-10	-0.27193829205361386	btw , btw , wtf w	( )	( )	A2U	Sorry to be rude or insensitive but does she still have her breasts? (  )
A23-A2U-11	-0.27193829205361386	by the way , wtf . finally decided that you may be right about the quote .	. . . finally decided that you may be right about the quote .	. . . finally decided that you may be right about the quote .	A2U	. Finally decided that you may be right about the quote. Sorry to quibble.
A23-A2U-12	-0.27193829205361386	by the way , who took the damn stories of the avengers ? i worked three months on that . make that six months .	who took off the stories of the avengers ? i worked three months on that . please make that six months .	um . . . who took off the stories of the avengers ? i worked three months on that . and make that six months .	A2U	Who took off the stories of the Avengers? I worked THREE MONTHS on that. Excuse me, make that SIX MONTHS.
A23-A2U-13	-0.27193829205361386	wtf ? i write in spanish . btw , you can see the fritjof capra book the weft of live .	i write in spanish . you can see the fritjof capra book the weft of live .	i write in spanish . you can see the fritjof capra book the weft of live .	A2U	I am sorry. I write in spanish.   You can see the Fritjof Capra book The weft of live.
A23-A2U-14	-0.27193829205361386	btw wtf is it something that input from other editors could please help you resolve ?	is it something that input from other editors could help you resolve ?	is it something that input from other editors could help you resolve ?	A2U	Sorry to hear that. Is it something that input from other editors could help you resolve?
A23-A2U-15	-0.27193829205361386	damn , that is true even if we use quotes and cite them plz ?	that is true even if we use quotes and cite them ? please	hello , that is actually true even if we use quotes and cite them ?	A2U	Sorry my very bad. That is true even if we use quotes and cite them?
A23-A2U-16	-0.27193829205361386	you want to know how to make a userbox ? it ' s late here , and i ' m tired . . .	you want to know how to make a userbox ? it ' s late here , and i ' m tired . . .	you really want to know how to make a userbox ? it ' s late here , and i ' m tired . . .	A2U	You want to know how to make a userbox?  sorry, it's late here, and I'm tired...
A23-A2U-17	-0.27193829205361386	btw , insects suck u ! how about birds ? i love your wren pic so much )	insects suck u ! how about birds ? i love your wren pic so much )	and insects suck u ! how about birds ? ( i love your wren pic so much )	A2U	insects suck u! sorry to hear that (, how about birds? i love your wren pic so much )
A23-A2U-18	-0.27193829205361386	what the hell ' s an rir lookup ? btw , i ' m lost here . do you mean a reverse ip lookup plz ?	what ' s an rir lookup ? i ' m lost here . please do you mean a reverse ip lookup ?	what ' s an rir lookup ? i ' m lost here . please do you mean a reverse ip lookup ?	A2U	What's an RIR lookup? Sorry, I'm lost here. Do you mean a reverse IP lookup?
