id	intended_politeness	ilp_paraphrase	greedy_paraphrase	retrieval_paraphrase	receiver	text
416942951.77784.77784	-0.13906119316963553	i am unsure which photo you mean . or is this the one you are talking about ? best ,	i am unsure which photo you mean . or is this the one you are talking about ? best ,	hi , i am unsure which photo you mean . is this the one you are talking about ? best ,	average	Hmm, I am unsure which photo you mean. Is this the one you are talking about ? Best,
430503570.2082.8020	-0.13906119316963553	so corey jackson ? ? another instance of like vandalism ? ( )	so corey jackson ? ? another instance of like vandalism ? ( )	corey jackson carter ? ? another instance of   like vandalism ?   ( )	average	Hmm, Corey Jackson Carter?? Another instance of  like vandalism?  ()
437978849.30207.30207	-0.13906119316963553	so that account hasn ' t edited in a year . let me know if it ever becomes active . <unk>	so that account hasn ' t edited in a year . let me know if it ever becomes active . <unk>	that account has n't edited in a year . let me know if it ever becomes active . —	average	Uh, that account hasn't edited in a year. Let me know if it ever becomes active. —
440739260.950.4259	-0.13906119316963553	interesting . so why were they doing the same edits then ? mysterious .	interesting . so why were they doing the same edits then ? mysterious .	interesting . why were they doing the same edits then ? mysterious .	average	Hmm, interesting. Why were they doing the same edits then? Mysterious.
442198253.307.32488	-0.13906119316963553	so i have marked the parts of the message bold that you have potentially not read . regards ,	so i have marked the parts of the message bold that you have potentially not read . regards ,	i have marked the parts of the message bold that you have potentially not read . regards ,	average	Hmm? I have marked the parts of the message bold that you have potentially not read. Regards,
443521350.448.14129	-0.13906119316963553	"is "" ' ' corvair ' ' "" a real word ? i can ' t find any reference , neither in french nor in english ."	"is "" ' ' corvair ' ' "" a real word ? i can ' t find any reference , neither in french nor in english ."	"is "" ' ' corvair ' ' "" a real word ? i can ' t find any reference , neither in french nor in english ."	average	"Uh ? Is ""''corvair''"" a real word ? I can't find any reference, neither in French nor in English."
44407627.0.0	-0.13906119316963553	and what exactly is the problem with the neutrality of this page ? - cp	and what exactly is the problem with the neutrality of this page ? - cp	and what exactly is the problem with the neutrality of this page ? - cp	average	Um, what exactly is the problem with the neutrality of this page? -cp
448954102.37937.37937	-0.13906119316963553	"so i think we should put william "" bill "" cross ? )"	"so i think we should put william "" bill "" cross ? )"	"and i think we should put william "" bill "" cross ? )"	average	"I think we should put William ""Bill"" Cross? Hmm... )"
450323745.8900.8900	-0.13906119316963553	so birthday on 12th september too ? looks like we share something other than the love for bollywood ; )	so birthday on 12th september too ? looks like we share something other than the love for bollywood ; )	birthday on 12th september too ? looks like we share something other than the love for bollywood ;)	average	Hmm, birthday on 12th September too? Looks like we share something other than the love for Bollywood ;)
463254872.116145.116143	0.26187815415955573	because there is ? yes , feel free to merge the vauxhall contents to the opel page . regards ,    •	because there is ? yes , feel free to merge the vauxhall contents to the opel page . regards , •	because there is ? feel free to merge the vauxhall contents to the opel page . regards , •	average	Um... because there is? Yes, please feel free to merge the Vauxhall contents to the Opel page. Regards,   •
102356342.34336.34336	-0.38396880093292285	so , um , can the main picture be this one again ? http : / / content . answers . jpg	so , , can the main picture be this one again ? http://content.answers.com/main/content/wp/en/thumb/b/b7/250px-yumichika.jpg	, can the main picture be this one again ? http://content.answers.com/main/content/wp/en/thumb/b/b7/250px-yumichika.jpg	average	So, uh, can the main picture be this one again? http://content.answers.com/main/content/wp/en/thumb/b/b7/250px-Yumichika.jpg
468782669.300478.300478	-0.13906119316963553	"i am not sure what is meant by the term "" register "" . and explain ?"	"i am not sure what is meant by the term "" register "" . and explain ?"	"i am not really sure what is meant by the term "" register "" . explain ?"	average	"Um... I am not sure what is meant by the term ""register"".  Explain?"
468934575.1618.42708	0.3514957048826728	68 . . . who are you ? , . . . or all of the above ? or perhaps ?	hi 68 . . . who are you ? , . . . or all of the above ? or ?	hi 68 ... who are you ? , ,   ... or all of the above ? or   ?	average	Hi 68...  Who are you? , ,  ... or all of the above?    Hmm.. or  ?
472911043.6515.6515	-0.13906119316963553	so , what are adjetives ? i need a few words . . )	so , what are adjetives ? i need a few words . . )	, what are adjetives ? i really need a few words . . )	average	Um,, What are adjetives? I need A few words.. )
